"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1799597414522978415","Sun Jun 09 00:20:33 +0000 2024","4","Belakangan ini UKT mahal menjadi isu panas yang melanda semua kampus negeri. Isu ini sebenarnya sudah berjalan lebih dari lima tahun terutama sejak kampus negeri diberi otonomi dalam tata kelolanya. Belakangan persoalan ini jadi makin serius ketika banyak mahasiswa menjadi https://t.co/2IRHFNbvYg","1799597414522978415","https://pbs.twimg.com/media/GPl0T4QbYAAi_ve.jpg","","in","Bagelen, Indonesia","0","0","3","https://x.com/helmi_stbd/status/1799597414522978415","1142046433681395712","helmi_stbd"
"1791150414588706868","Thu May 16 17:24:56 +0000 2024","13","Soal UKT kalau gak cepet kelar bisa jadi angka 2023 malah naik jutaan anak muda terjebak di situasi ini karena mereka putus pendidikan gak bekerja atau menempuh pelatihan. Penyebabnya kurang akses transportasi dan pendidikan keterbatasan finansial kewajiban rumah tangga dll. https://t.co/9EiFG9nlu7","1791157903501688867","https://pbs.twimg.com/media/GNt4nehaAAEfwtk.jpg","mazzini_gsp","in","DKI Jakarta, Indonesia","0","0","3","https://x.com/mazzini_gsp/status/1791157903501688867","1226038913707282433","mazzini_gsp"
"1792803580669481325","Tue May 21 06:24:16 +0000 2024","1332","Dulu saat UKT pertamakali diterapkan di tahun 2013 SPP per semesterku angkatan 2010 ya tetep 1 2 juta aja. Yg terdampak emg mahasiswa baru. Stop beating around the bush. Langsung to the point aja. Beliau pengen kalian cuek dan apatis selama kebijakan ini gak berdampak padamu.","1792803580669481325","","","in","","4","5","679","https://x.com/WidasSatyo/status/1792803580669481325","472857347","WidasSatyo"
"1801561201459269649","Fri Jun 14 10:23:56 +0000 2024","1085","ukt ui lama banget ak jd gk mau bayar","1801561201459269649","","","in","Netherlands ","58","71","107","https://x.com/glomjys/status/1801561201459269649","3020418859","glomjys"
"1792891499509911586","Tue May 21 12:13:38 +0000 2024","143","Udahlah UKT mahal selepas lulus pun dihadapkan pada persaingan yang makin berat untuk dapat pekerjaan formal. Laporan jurnalisme data Harian KOMPAS membandingkan situasi antara tahun 2017 dengan 2022. Agustus 2017 waktu tunggu seorang lulusan untuk mendapat kerja hanya https://t.co/u7oxmOWI8H","1792891499509911586","https://pbs.twimg.com/media/GOGhQTebgAAUNMy.jpg","","in","","2","4","78","https://x.com/perupadata/status/1792891499509911586","1256115929923981317","perupadata"
"1754149115091706075","Sun Feb 04 14:25:14 +0000 2024","20","Bagaimana pendapat dan pandangan pak Ganjar melihat problem pendidikan tinggi soal UKT ini? Ganjar : www. cerdas. com/BersamaGanjar","1754149115091706075","","","in","backroom lantai 5","0","3","5","https://x.com/hahahiheho/status/1754149115091706075","273946618","hahahiheho"
"1785175434809979220","Tue Apr 30 05:12:45 +0000 2024","2995","UKT Naik 5 Kali Lipat Mahasiswa Unsoed Demo hingga Ricuh https://t.co/hWlY8XJUkz","1785175434809979220","https://pbs.twimg.com/ext_tw_video_thumb/1785175396922851328/pu/img/EQjnPAohYtNF7imv.jpg","","in","Jakarta Capital Region","450","474","914","https://x.com/Mdy_Asmara1701/status/1785175434809979220","1334853481019056128","Mdy_Asmara1701"
"1791150414588706868","Thu May 16 17:03:57 +0000 2024","21","Buk Tjijik bener kuliah gak wajib kalau gak mau pusing UKT gak usah kuliah. Masalahnya loker layak/berkecukupan rata-rata syarat pendidikan minimal S1 fakta ini di sosial masyarakat menyimpulkan kuliah itu wajib. Nah lapangan kerja kasar ini yg ada untuk lulusan SMA dan SMP. https://t.co/Y8btwrbjeZ","1791152618968056002","https://pbs.twimg.com/media/GNtzztMaUAAxqxg.jpg","mazzini_gsp","in","DKI Jakarta, Indonesia","1","2","7","https://x.com/mazzini_gsp/status/1791152618968056002","1226038913707282433","mazzini_gsp"
"1801758812774482184","Fri Jun 14 23:29:10 +0000 2024","22","praying circle: UKT GA TINGGI ️ ","1801758812774482184","","","in","PTN | IPB⁶¹","0","4","13","https://x.com/kerlabu/status/1801758812774482184","1699618318880219136","kerlabu"
"1801210666638086610","Thu Jun 13 11:11:02 +0000 2024","20","Semoga dapat UKT murah https://t.co/jNeyzFX4yJ","1801210666638086610","https://pbs.twimg.com/media/GP8vje8a4AA52zJ.jpg","","in","","0","7","0","https://x.com/Strepto_misin/status/1801210666638086610","957428097053204480","Strepto_misin"
"1801266961793585374","Thu Jun 13 14:54:44 +0000 2024","66","UKT naik? Sabarin gan Tapera? Sabarin gan Isu oknum K maju gubernur Jakarta? Sabarin gan AO3 diblokir? AKAN GUE GULINGKAN REZIM INI DENGAN KEKUATAN SENDIRI WALAU CUMAN PUNYA GARPU DAN SUMPIT POKOKNYA AKAN GUE GULINGKAAAAANNN!!!!!!","1801266961793585374","","","in","Rumah jc","2","2","14","https://x.com/tapakatuy/status/1801266961793585374","1476376792210423813","tapakatuy"
"1800523437611553244","Tue Jun 11 13:40:14 +0000 2024","12","Makan tuh politik dinasti Makan tuh UKT naik Makan tuh Tapera Makan tuh Dwifungsi aparat Makan tuh pajak BBM naik Makan tuh Keberlanjutan Menyalaaa abangku https://t.co/dPlR3z30zV","1800523437611553244","https://pbs.twimg.com/ext_tw_video_thumb/1800523245114052608/pu/img/TkYPG-vcgI6TBEGc.jpg","","in","in ur dream 🥰","0","2","13","https://x.com/EonHadean/status/1800523437611553244","1730574421189173249","EonHadean"
"1800364095507767562","Tue Jun 11 03:07:04 +0000 2024","6","Urusan UKT Mahasiswa PTN dalam Negeri sendiri saja belum selesai bahkan membuat anak bangsa harus menderita sekarang muncul ajakan Khofifah yang sangat sangat-sangat tolol #hening https://t.co/13ysAldfPL","1800364095507767562","https://pbs.twimg.com/media/GPwtmXQbUAAEm8F.jpg","","in","Hazelwood Court, Flinders View","1","0","2","https://x.com/asboediono_id/status/1800364095507767562","780554097388687360","asboediono_id"
"1800383053598163165","Tue Jun 11 04:22:24 +0000 2024","2","bayar ukt mahal tapi wifi problematik :&lt; https://t.co/wdb3plDSaQ","1800383053598163165","https://pbs.twimg.com/media/GPw-vN0aEAAG6zK.png","","in","","0","1","0","https://x.com/mastamaru/status/1800383053598163165","1490147088","mastamaru"
"1800475096550986011","Tue Jun 11 10:28:08 +0000 2024","96","Akibat UKT mahal kabarnya UIN Walisongo berubah menjadi UIN Walisangu #festivalliterasi https://t.co/lxNndbiByz","1800475096550986011","https://pbs.twimg.com/media/GPySjJpaYAAZPAH.jpg","","in","Yogyakarta","0","1","15","https://x.com/suluhpergerakan/status/1800475096550986011","1454020076","suluhpergerakan"
